name,url,description,category,pricing,hasApi,tags,packageType,license,version,tap,deprecated,disabled,installCount365d,popularityTier,transitiveDepFactor,licenseTier,statusTier,dependencyComplexityTier,versionTier,installVolumeTier,dependencies,urlDomainTier,descriptionLengthTier,categorizationTier
sonar-completion,https://github.com/a1dutch/sonarqube-bash-completion,Bash completion for Sonar,cli-tool,open-source,false,"[""core""]",formula,Apache-2.0,1.1,homebrew/core,false,false,86,rest,leaf,permissive,active,zero,stable,emerging,[],repo-hosted,terse,specific
SQLiteManager,https://www.sqlabs.com/sqlitemanager.php,Database management system for sqlite databases,database,unknown,false,"[""cask""]",cask,,4.9.2,homebrew/cask,false,false,221,rest,leaf,unknown,active,zero,mature,emerging,[],commercial,terse,specific
libnftnl,https://netfilter.org/projects/libnftnl,Netfilter library providing interface to the nf_tables subsystem,dev-library,unknown,false,"[""core""]",formula,GPL-2.0-or-later,1.3.1,homebrew/core,false,false,1051,rest,niche,strong-copyleft,active,simple,stable,niche,"[""libmnl"",""pkgconf""]",commercial,normal,specific
Brew Services Menubar,https://github.com/andrewn/brew-services-menubar,Menu item for starting and stopping homebrew services,gui-app,open-source,false,"[""cask""]",cask,,4.1,homebrew/cask,true,false,607,rest,leaf,unknown,deprecated,zero,mature,emerging,[],repo-hosted,normal,specific
node,https://nodejs.org/,"Open-source, cross-platform JavaScript runtime environment",language-runtime,open-source,false,"[""core""]",formula,MIT,25.9.0,homebrew/core,false,false,3004826,top1pct,core,permissive,active,complex,veteran,viral,"[""ada-url"",""brotli"",""c-ares"",""hdrhistogram_c"",""icu4c@78"",""libnghttp2"",""libnghttp3"",""libngtcp2"",""libuv"",""llhttp"",""merve"",""nbytes"",""openssl@3"",""simdjson"",""sqlite"",""uvwasi"",""zstd"",""pkgconf"",""python@3.14""]",commercial,normal,specific
Video DownloadHelper Companion App,https://www.downloadhelper.net/w/coapp-installation,Allows video downloads from the Web,multimedia,unknown,false,"[""cask""]",cask,,2.0.19,homebrew/cask,true,false,456,rest,leaf,unknown,deprecated,zero,stable,emerging,[],commercial,terse,specific
sshuttle,https://github.com/sshuttle/sshuttle,Proxy server that works as a poor man's VPN,network,open-source,false,"[""core""]",formula,LGPL-2.1-or-later,1.3.2,homebrew/core,false,false,35392,top25pct,leaf,weak-copyleft,active,simple,stable,established,"[""python@3.14""]",repo-hosted,terse,specific
BuildSettingExtractor,https://github.com/dempseyatgithub/buildsettingextractor,Xcode build settings extractor,productivity,open-source,false,"[""cask""]",cask,,1.4.8,homebrew/cask,false,false,34,rest,leaf,unknown,active,zero,stable,emerging,[],repo-hosted,terse,specific
jags,https://mcmc-jags.sourceforge.io,Just Another Gibbs Sampler for Bayesian MCMC simulation,science,unknown,false,"[""core""]",formula,GPL-2.0-only,4.3.2,homebrew/core,false,false,940,rest,leaf,strong-copyleft,active,simple,mature,emerging,"[""openblas"",""gcc""]",commercial,normal,specific
VeraCrypt,https://veracrypt.io/,Disk encryption software focusing on security based on TrueCrypt,security,unknown,false,"[""cask""]",cask,,1.26.24,homebrew/cask,false,false,4893,top25pct,leaf,unknown,active,zero,stable,niche,[],commercial,normal,specific
pnpm,https://pnpm.io/,"Fast, disk space efficient package manager",system-utility,unknown,false,"[""core""]",formula,MIT,11.0.7,homebrew/core,false,false,434406,top5pct,shared,permissive,active,simple,veteran,mainstream,"[""node""]",commercial,terse,specific
ngrok,https://ngrok.com/,"Reverse proxy, secure introspectable tunnels to localhost",web-server,unknown,false,"[""cask""]",cask,,"3.39.1,ibTLJJL6E5Z,a",homebrew/cask,false,false,432948,top1pct,leaf,unknown,active,zero,mature,mainstream,[],commercial,normal,specific
acme.sh,https://github.com/acmesh-official/acme.sh,ACME client,cli-tool,open-source,false,"[""core""]",formula,GPL-3.0-only,3.1.3,homebrew/core,false,false,679,rest,leaf,strong-copyleft,active,zero,mature,emerging,[],repo-hosted,terse,specific
temporal_tables,https://pgxn.org/dist/temporal_tables,Temporal Tables PostgreSQL Extension,database,unknown,false,"[""core""]",formula,BSD-2-Clause,1.2.2,homebrew/core,false,false,67,rest,leaf,permissive,active,simple,stable,emerging,"[""postgresql@17"",""postgresql@18""]",commercial,terse,specific
gersemi,https://github.com/blankspruce/gersemi,Formatter to make your CMake code the real treasure,dev-library,open-source,false,"[""core""]",formula,MPL-2.0,0.27.3,homebrew/core,false,false,707,rest,leaf,permissive,active,simple,early,emerging,"[""libyaml"",""python@3.14"",""rust""]",repo-hosted,normal,specific
ProfileCreator,https://github.com/profilecreator/profilecreator,Create standard or customised configuration profiles,gui-app,open-source,false,"[""cask""]",cask,,0.3.7,homebrew/cask,true,false,198,rest,leaf,unknown,deprecated,zero,early,emerging,[],repo-hosted,normal,specific
ocaml,https://ocaml.org/,General purpose programming language in the ML family,language-runtime,unknown,false,"[""core""]",formula,LGPL-2.1-only WITH OCaml-LGPL-linking-exception,5.4.1,homebrew/core,false,false,8867,top25pct,shared,weak-copyleft,active,zero,mature,niche,[],commercial,normal,specific
tev,https://github.com/tom94/tev,High dynamic range (HDR) image viewer with accurate color management,multimedia,open-source,false,"[""cask""]",cask,,2.11.0,homebrew/cask,false,false,276,rest,leaf,unknown,active,zero,stable,emerging,[],repo-hosted,normal,specific
pwncat,https://pwncat.org,"Netcat with FW/IDS/IPS evasion, self-inject-, bind- and reverse shell",network,unknown,false,"[""core""]",formula,MIT,0.1.2,homebrew/core,false,false,250,rest,leaf,permissive,active,simple,early,emerging,"[""python@3.14""]",commercial,normal,specific
pipe-rename,https://github.com/marcusbuffett/pipe-rename,Rename your files using your favorite text editor,productivity,open-source,false,"[""core""]",formula,MIT,1.6.7,homebrew/core,false,false,326,rest,leaf,permissive,active,simple,stable,emerging,"[""rust""]",repo-hosted,terse,specific
